,國文,英文,數學,社會,自然
0,8,7,12,15,7
1,9,11,14,12,10
2,14,6,15,7,13
3,15,8,7,12,11
4,11,6,11,14,14
5,14,7,11,13,6
6,7,15,7,11,9
7,9,6,14,9,6
8,9,13,9,12,13
9,10,8,8,9,6
10,12,8,10,13,14
11,13,11,13,6,12
12,13,13,8,15,6
13,8,9,9,13,15
14,13,6,9,10,10
15,10,7,9,13,6
16,8,8,15,10,7
17,12,11,10,11,15
18,10,7,10,11,15
19,10,9,11,14,8
20,9,8,12,11,13
21,14,12,12,13,6
22,8,11,11,10,8
23,9,7,13,11,8
24,9,9,7,8,12
25,8,13,10,11,15
26,9,12,12,11,12
27,6,12,10,14,9
28,12,11,9,12,12
29,14,13,9,11,8
30,9,11,7,11,6
31,12,9,6,10,9
32,11,6,7,15,8
33,14,10,7,10,7
34,7,15,6,13,13
35,9,12,8,15,11
36,13,13,7,15,6
37,8,11,15,12,10
38,6,15,6,15,9
39,14,6,14,13,6
40,13,11,13,12,6
41,7,10,13,10,6
42,6,9,10,9,12
43,11,9,9,7,11
44,8,11,6,12,13
45,6,12,15,6,15
46,15,9,7,10,7
47,7,13,10,6,12
48,9,11,9,10,8
49,9,15,11,15,14
50,7,12,7,11,7
51,9,12,10,13,9
52,13,14,7,10,14
53,9,15,13,13,6
54,10,12,15,10,12
55,10,14,6,14,15
56,11,14,10,7,12
57,15,6,8,11,14
58,12,9,15,11,15
59,15,13,9,10,7
60,7,9,15,6,8
61,11,6,6,7,15
62,7,12,11,12,9
63,11,15,7,6,6
64,6,12,6,14,13
65,15,10,13,9,11
66,12,11,9,11,11
67,9,10,12,13,13
68,10,14,9,14,8
69,14,14,14,7,11
70,7,11,15,14,8
71,8,6,8,14,6
72,15,7,11,6,14
73,15,8,10,15,8
74,9,15,10,7,14
75,15,12,13,15,6
76,15,7,9,6,9
77,15,8,10,6,9
78,9,15,7,15,8
79,8,9,14,13,11
80,10,14,10,13,13
81,11,9,14,8,13
82,13,9,8,9,7
83,12,10,10,7,12
84,10,13,6,10,14
85,11,8,7,10,9
86,10,11,7,8,14
87,10,14,14,15,15
88,12,8,9,13,15
89,7,8,11,8,9
90,7,7,13,7,15
91,6,6,14,14,6
92,7,10,6,14,6
93,6,10,6,15,15
94,7,14,13,11,12
95,9,14,6,10,9
96,8,9,6,9,6
97,13,6,9,11,13
98,15,15,14,12,13
99,7,13,15,10,14
